,0
2023-05-12,1860939.0107813692
2023-05-19,1870868.5706731146
2023-05-26,1862981.511344221
2023-06-02,1897374.506868038
2023-06-09,1900811.4215899147
2023-06-16,1941489.5032463216
2023-06-23,1913026.5148354291
2023-06-30,1930264.5992413936
2023-07-07,1887892.9025806212
2023-07-14,1906263.042157971
2023-07-21,1959920.0196618326
2023-07-28,1964520.1114725024
2023-08-04,1913129.4585148836
2023-08-11,1929833.2356136325
2023-08-18,1903740.9048194254
2023-08-25,1886311.1371121032
2023-09-01,1933438.7923548142
2023-09-08,1917591.288905878
2023-09-15,1887624.7463428017
2023-09-22,1868528.444912245
2023-09-29,1847427.945243395
2023-10-06,1818323.6007833574
2023-10-13,1841980.4897985803
2023-10-20,1812875.8630160773
2023-10-27,1787142.7148807659
2023-11-03,1849385.6523296996
2023-11-10,1842182.5180256958
2023-11-17,1829904.022498338
2023-11-24,1864579.079842689
2023-12-01,1893477.451419505
2023-12-08,1875919.6617043396
2023-12-15,1898588.1674552045
2023-12-22,1902459.0569897834
2023-12-29,1924587.413267283
2024-01-12,1944820.9045863352
2024-01-19,1961793.228367253
2024-01-26,1959544.947711761
2024-02-02,1956959.2520967491
2024-02-09,1939247.4437639855
2024-02-16,1956638.1544464147
2024-02-23,1999627.1302763713
2024-03-01,1982004.4039650313
2024-03-08,1980685.9335378048
2024-03-15,1970819.9822814756
2024-03-22,1980893.4308713188
2024-03-28,1998938.6183659162
2024-04-05,1957104.946594193
2024-04-12,1919578.9265529737
2024-04-19,1857240.7674514186
2024-04-26,1877916.0361088382
2024-05-03,1863676.4205583264
2024-05-10,1930364.6501898717
2024-05-17,1955469.484384849
2024-05-24,1913682.4589014733
2024-05-31,1932522.2225329757
2024-06-07,1950065.2147239293
2024-06-14,1927850.2063196918
2024-06-21,1936257.1099240214
2024-06-28,1910199.6549892807
2024-07-05,1920996.5456403983
2024-07-12,1944494.1013805002
2024-07-19,1891169.0427089091
2024-07-26,1935900.7407607604
2024-08-02,1731988.2258947499
2024-08-09,1689208.8652451565
2024-08-16,1794425.6065991232
2024-08-23,1771171.7359320011
2024-08-30,1737589.953014176
2024-09-06,1715409.6150278514
2024-09-13,1738199.8684430954
2024-09-20,1737924.1084106967
2024-09-27,1731248.1264079502
2024-10-04,1710867.6489365392
2024-10-11,1734541.717870013
2024-10-18,1764416.1173855315
2024-10-25,1683023.027589774
2024-11-01,1689410.0306673679
2024-11-08,1815382.3166491254
2024-11-15,1807380.1624486218
2024-11-22,1862976.3205397835
2024-11-29,1886608.549315724
2024-12-06,1868666.1525279346
2024-12-13,1948656.709926013
2024-12-20,1939737.50151027
2024-12-27,1944371.6293665322
2024-12-31,1918972.0975788143
2025-01-03,1917406.830485817
2025-01-10,1898472.8942469563
2025-01-17,1964144.9810844422
2025-01-24,1985849.513098699
2025-01-31,2001140.1333841353
2025-02-07,2035152.929879025
2025-02-14,2116909.081535223
2025-02-21,2219576.263301845
2025-02-28,2234142.3535846537
2025-03-07,2209288.043724985
2025-03-14,2284923.450011218
2025-03-21,2279574.1460722755
2025-03-28,2278956.8953084117
2025-04-04,2100424.2833866132
2025-04-11,2241157.6337866737
2025-04-17,2224729.8536577458
2025-04-25,2350567.9014216107
2025-05-02,2358347.0420316057
2025-05-07,2285061.992906024
