,0
2023-05-12,1703360.886679348
2023-05-19,1712449.644475036
2023-05-26,1684420.475200453
2023-06-02,1715173.8360666733
2023-06-09,1722590.776645446
2023-06-16,1760159.0737223148
2023-06-23,1734354.4596706212
2023-06-30,1749982.5486353133
2023-07-07,1711568.2660848473
2023-07-14,1728222.6790026366
2023-07-21,1776868.2244274337
2023-07-28,1781038.6787754833
2023-08-04,1734447.7886590967
2023-08-11,1749591.4733283347
2023-08-18,1725936.103198754
2023-08-25,1717435.184320136
2023-09-01,1762746.9495432675
2023-09-08,1747948.6585471788
2023-09-15,1715834.2051741485
2023-09-22,1698135.9369052066
2023-09-29,1675995.3510193485
2023-10-06,1669928.7891382452
2023-10-13,1691993.4196166354
2023-10-20,1645185.6251000722
2023-10-27,1621508.4155473576
2023-11-03,1677982.610943984
2023-11-10,1671447.0708357398
2023-11-17,1660306.559413741
2023-11-24,1691767.89533576
2023-12-01,1717987.9349091235
2023-12-08,1702057.4199343016
2023-12-15,1722624.9843133802
2023-12-22,1726137.1156634458
2023-12-29,1746214.5922003936
2024-01-12,1764572.8218910403
2024-01-19,1779972.1325409391
2024-01-26,1777932.2249426052
2024-02-02,1774207.9173481388
2024-02-09,1758854.0965437028
2024-02-16,1774627.0825151205
2024-02-23,1813617.1229495578
2024-03-01,1797633.7039874024
2024-03-08,1796437.8807728062
2024-03-15,1787489.6834505426
2024-03-22,1796626.0762175114
2024-03-28,1812992.658032449
2024-04-05,1775050.452562091
2024-04-12,1741015.1909513439
2024-04-19,1706985.5707098502
2024-04-26,1694028.4871016594
2024-05-03,1683371.5276878749
2024-05-10,1752117.6428842968
2024-05-17,1774904.3339430967
2024-05-24,1736975.8603845509
2024-05-31,1754075.988198888
2024-06-07,1769999.0865232009
2024-06-14,1749835.3790298735
2024-06-21,1774504.6997402622
2024-06-28,1750624.0508285165
2024-07-05,1760518.983224009
2024-07-12,1774546.8430593451
2024-07-19,1754422.2475625637
2024-07-26,1789680.9219852677
2024-08-02,1776572.1227078773
2024-08-09,1711571.8503932771
2024-08-16,1834189.675716478
2024-08-23,1813452.2779430768
2024-08-30,1797280.0120409045
2024-09-06,1774337.7303742885
2024-09-13,1797910.8794141477
