Date,avg_mean_log_return_20d,std_mean_log_return_20d,avg_volatility_20d,positive_return_ratio_20d,Market_Regime
2020-05-12,0.005102824308377351,0.005178547920873162,0.023052341928127145,,0
2020-05-13,0.005102824308377351,0.005178547920873162,0.023052341928127145,,0
2020-05-14,0.005102824308377351,0.005178547920873162,0.023052341928127145,,0
2020-05-15,0.005102824308377351,0.005178547920873162,0.023052341928127145,,0
2020-05-18,0.005102824308377351,0.005178547920873162,0.023052341928127145,,0
2020-05-19,0.005102824308377351,0.005178547920873162,0.023052341928127145,,0
2020-05-20,0.005102824308377351,0.005178547920873162,0.023052341928127145,,0
2020-05-21,0.005102824308377351,0.005178547920873162,0.023052341928127145,,0
2020-05-22,0.005102824308377351,0.005178547920873162,0.023052341928127145,,0
2020-05-26,0.005102824308377351,0.005178547920873162,0.023052341928127145,,0
2020-05-27,0.005102824308377351,0.005178547920873162,0.023052341928127145,,0
2020-05-28,0.005102824308377351,0.005178547920873162,0.023052341928127145,,0
2020-05-29,0.005102824308377351,0.005178547920873162,0.023052341928127145,,0
2020-06-01,0.005102824308377351,0.005178547920873162,0.023052341928127145,,0
2020-06-02,0.005102824308377351,0.005178547920873162,0.023052341928127145,,0
2020-06-03,0.005102824308377351,0.005178547920873162,0.023052341928127145,0.5645833333333333,0
2020-06-04,0.004950577963970982,0.005720177462341379,0.022673216359426616,0.5588235294117647,0
2020-06-05,0.006187155914625432,0.006199285035765399,0.022852894510219053,0.5814814814814815,0
2020-06-08,0.006707840954502326,0.0068421759931828665,0.022534738988110987,0.5929824561403509,0
2020-06-09,0.005696917912375568,0.005905132213049049,0.022658564998153885,0.5683333333333334,0
2020-06-10,0.006279312039065645,0.005232258987528391,0.022556173063173715,0.5816666666666667,0
2020-06-11,0.00397414950325919,0.00446843099536056,0.02757578887721458,0.5800000000000001,0
2020-06-12,0.0040255334454111094,0.005141045070231164,0.02750442073191726,0.58,0
2020-06-15,0.004244221998410494,0.0057448106248921904,0.027316793552923865,0.5900000000000001,0
2020-06-16,0.0032299885503005187,0.004408930109337868,0.026155182364571428,0.5933333333333334,0
2020-06-17,0.0036974651261362135,0.004314371510199619,0.025726106279481905,0.6,0
2020-06-18,0.0028864544897310163,0.004111500226304023,0.025435895117194886,0.5783333333333334,0
2020-06-19,0.0028953139126026103,0.003562212874915053,0.02560719494018905,0.5816666666666668,0
2020-06-22,0.0029980932568108107,0.0035271326107245778,0.025818813347766843,0.5800000000000001,0
2020-06-23,0.0019529454041464446,0.0030845748863749145,0.025012997780333127,0.5650000000000001,0
2020-06-24,-0.0005303112128892123,0.002981788518484245,0.02520039279345381,0.5183333333333333,0
2020-06-25,0.0004067319052830429,0.002636135368799262,0.025207981963723636,0.5349999999999999,0
2020-06-26,-0.0009834960244003454,0.0028641695947624023,0.025849983641410855,0.51,0
2020-06-29,-0.00010104406701742277,0.003267622362779756,0.026254422283061563,0.5266666666666666,0
2020-06-30,-0.00013219570875665335,0.0028260151856319944,0.026317068525825733,0.53,0
2020-07-01,-0.0011845371984689026,0.0032215156773294585,0.02593119932787963,0.5050000000000001,0
2020-07-02,-0.0010463578430416588,0.003517686747126118,0.025675055712111736,0.52,0
2020-07-06,-0.0016211124056813892,0.0036388526868155586,0.02507640248629606,0.5183333333333333,0
2020-07-07,-0.0031422686415291693,0.004637592949229948,0.02499691341727557,0.48166666666666663,0
2020-07-08,-0.0022535458808167564,0.0041288395156883345,0.024928893183576162,0.515,0
2020-07-09,-0.0025373318774869506,0.003780758246519971,0.024961473022650324,0.5116666666666666,0
2020-07-10,0.0017082125860008923,0.0026240145039256807,0.019486810166051544,0.5533333333333335,2
2020-07-13,0.0007321321913087545,0.002758421306066532,0.0192280442931975,0.54,2
